Pokemon ID,Name,Description,Japanese name,Name etymology,Image URL,Species,Height,Weight,Type 1,Type 2,Abilities,EV Yield,Catch rate,Base Exp,Growth rate,Gender male %,Gender female %,Friendship,Generation
251,Celebi,Celebi is a Psychic/Grass type Pokémon introduced in Generation 2.,セレビィ (Celebi),celestial: heavenly | being: one’s existence,https://img.pokemondb.net/artwork/celebi.jpg,Time Travel,60,500,Psychic, Grass,Natural Cure,3 HP,45,270,Medium Slow,0,0,100,2
252,Treecko,Treecko is a Grass type Pokémon introduced in Generation 3.,キモリ (Kimori),tree: large plant with a trunk | gecko: tropical lizard,https://img.pokemondb.net/artwork/treecko.jpg,Wood Gecko,50,500,Grass,,"Overgrow, Unburden",1 Speed,45,62,Medium Slow,87.5,12.5,50,3
253,Grovyle,Grovyle is a Grass type Pokémon introduced in Generation 3.,ジュプトル (Juptile),grove: small wood or forest | reptile: cold-blooded creature with scaly skin,https://img.pokemondb.net/artwork/grovyle.jpg,Wood Gecko,90,2160,Grass,,"Overgrow, Unburden",2 Speed,45,142,Medium Slow,87.5,12.5,50,3
254,Sceptile,"Sceptile is a Grass type Pokémon introduced in Generation 3. Sceptile has a Mega Evolution, available in Omega Ruby/Alpha Sapphire and Pokémon Go.",ジュカイン (Jukain),sceptre: wand used by royalty | reptile: cold-blooded creature with scaly skin,https://img.pokemondb.net/artwork/sceptile.jpg,Forest,170,5220,Grass,,"Overgrow, Unburden",3 Speed,45,239,Medium Slow,87.5,12.5,50,3
255,Torchic,Torchic is a Fire type Pokémon introduced in Generation 3.,アチャモ (Achamo),torch: a piece of wood alight | chick: baby bird/chicken,https://img.pokemondb.net/artwork/torchic.jpg,Chick,40,250,Fire,,"Blaze, Speed Boost",1 Sp. Atk,45,62,Medium Slow,87.5,12.5,50,3
256,Combusken,Combusken is a Fire/Fighting type Pokémon introduced in Generation 3.,ワカシャモ (Wakasyamo),combustion: state where something bursts into flames | chicken: a species of bird,https://img.pokemondb.net/artwork/combusken.jpg,Young Fowl,90,1950,Fire, Fighting,"Blaze, Speed Boost","1 Attack, 1 Sp. Atk",45,142,Medium Slow,87.5,12.5,50,3
257,Blaziken,"Blaziken is a Fire/Fighting type Pokémon introduced in Generation 3. Blaziken has a Mega Evolution, available in Generation 6 games and Pokémon Go.",バシャーモ (Bursyamo),blaze: a bright fire | chicken: a species of bird,https://img.pokemondb.net/artwork/blaziken.jpg,Blaze,190,5200,Fire, Fighting,"Blaze, Speed Boost",3 Attack,45,239,Medium Slow,87.5,12.5,50,3
258,Mudkip,Mudkip is a Water type Pokémon introduced in Generation 3.,ミズゴロウ (Mizugorou),mudskipper: amphibious fish,https://img.pokemondb.net/artwork/mudkip.jpg,Mud Fish,40,760,Water,,"Torrent, Damp",1 Attack,45,62,Medium Slow,87.5,12.5,50,3
259,Marshtomp,Marshtomp is a Water/Ground type Pokémon introduced in Generation 3.,ヌマクロー (Numacraw),marsh: boggy area | stomp: step on with force,https://img.pokemondb.net/artwork/marshtomp.jpg,Mud Fish,70,2800,Water, Ground,"Torrent, Damp",2 Attack,45,142,Medium Slow,87.5,12.5,50,3
260,Swampert,"Swampert is a Water/Ground type Pokémon introduced in Generation 3. Swampert has a Mega Evolution, available in Omega Ruby/Alpha Sapphire and Pokémon Go.",ラグラージ (Laglarge),swamp: boggy area | expert: possessing special skill or knowledge,https://img.pokemondb.net/artwork/swampert.jpg,Mud Fish,150,8190,Water, Ground,"Torrent, Damp",3 Attack,45,241,Medium Slow,87.5,12.5,50,3
261,Poochyena,Poochyena is a Dark type Pokémon introduced in Generation 3.,ポチエナ (Pochiena),pooch: slang for ‘dog’ | hyena: dog-like African mammal,https://img.pokemondb.net/artwork/poochyena.jpg,Bite,50,1360,Dark,,"Run Away, Quick Feet, Rattled",1 Attack,255,56,Medium Fast,50,50,50,3
262,Mightyena,Mightyena is a Dark type Pokémon introduced in Generation 3.,グラエナ (Graena),mighty: powerful | hyena: dog-like African mammal,https://img.pokemondb.net/artwork/mightyena.jpg,Bite,100,3700,Dark,,"Intimidate, Quick Feet, Moxie",2 Attack,127,147,Medium Fast,50,50,50,3
263,Zigzagoon,"Zigzagoon is a Normal type Pokémon introduced in Generation 3. Zigzagoon has a Galarian Form, introduced in Pokémon Sword/Shield, which evolves into Galarian Linoone and then Obstagoon.",ジグザグマ (Jiguzaguma),zigzag: line that sharply weaves back and forth | raccoon: a small nocturnal carnivore,https://img.pokemondb.net/artwork/zigzagoon.jpg,TinyRaccoon,40,1750,Normal,,"Pickup, Gluttony, Quick Feet",1 Speed,255,56,Medium Fast,50,50,50,3
264,Linoone,"Linoone is a Normal type Pokémon introduced in Generation 3. Linoone has a Galarian Form, introduced in Pokémon Sword/Shield, which evolves into Obstagoon.",マッスグマ (Massuguma),line: continuous straight | raccoon: a small nocturnal carnivore,https://img.pokemondb.net/artwork/linoone.jpg,Rushing,50,3250,Normal,,"Pickup, Gluttony, Quick Feet",2 Speed,90,147,Medium Fast,50,50,50,3
265,Wurmple,Wurmple is a Bug type Pokémon introduced in Generation 3.,ケムッソ (Kemusso),"worm: long, thin invertebrate creature | apple: a fruit, often eaten by worms",https://img.pokemondb.net/artwork/wurmple.jpg,Worm,30,360,Bug,,"Shield Dust, Run Away",1 HP,255,56,Medium Fast,50,50,50,3
266,Silcoon,Silcoon is a Bug type Pokémon introduced in Generation 3.,カラサリス (Karasalis),silk: material produced by some insects | cocoon: a pupal casing made by some insects,https://img.pokemondb.net/artwork/silcoon.jpg,Cocoon,60,1000,Bug,,Shed Skin,2 Defense,120,72,Medium Fast,50,50,50,3
267,Beautifly,Beautifly is a Bug/Flying type Pokémon introduced in Generation 3.,アゲハント (Agehunt),beautiful: pleasing to the eye | butterfly: a species of flying insect,https://img.pokemondb.net/artwork/beautifly.jpg,Butterfly,100,2840,Bug, Flying,"Swarm, Rivalry",3 Sp. Atk,45,178,Medium Fast,50,50,50,3
268,Cascoon,Cascoon is a Bug type Pokémon introduced in Generation 3.,マユルド (Mayuld),cask: hard container | cocoon: a pupal casing made by some insects,https://img.pokemondb.net/artwork/cascoon.jpg,Cocoon,70,1150,Bug,,Shed Skin,2 Defense,120,72,Medium Fast,50,50,50,3
269,Dustox,Dustox is a Bug/Poison type Pokémon introduced in Generation 3.,ドクケイル (Dokucale),"dust: fine, dry particles | toxic: poisonous",https://img.pokemondb.net/artwork/dustox.jpg,Poison Moth,120,3160,Bug, Poison,"Shield Dust, Compound Eyes",3 Sp. Def,45,173,Medium Fast,50,50,50,3
270,Lotad,Lotad is a Water/Grass type Pokémon introduced in Generation 3.,ハスボー (Hassboh),"lotus: a type of flower | lily pad: large, floating leaf of a water lily",https://img.pokemondb.net/artwork/lotad.jpg,Water Weed,50,260,Water, Grass,"Swift Swim, Rain Dish, Own Tempo",1 Sp. Def,255,44,Medium Slow,50,50,50,3
271,Lombre,Lombre is a Water/Grass type Pokémon introduced in Generation 3.,ハスブレロ (Hasubrero),lotus: a type of flower | sombrero: wide-brimmed Mexican hat,https://img.pokemondb.net/artwork/lombre.jpg,Jolly,120,3250,Water, Grass,"Swift Swim, Rain Dish, Own Tempo",2 Sp. Def,120,119,Medium Slow,50,50,50,3
272,Ludicolo,Ludicolo is a Water/Grass type Pokémon introduced in Generation 3.,ルンパッパ (Runpappa),ludic: playful in an aimless way | colocynth: tropical plant similar to watermelon,https://img.pokemondb.net/artwork/ludicolo.jpg,Carefree,150,5500,Water, Grass,"Swift Swim, Rain Dish, Own Tempo",3 Sp. Def,45,216,Medium Slow,50,50,50,3
273,Seedot,Seedot is a Grass type Pokémon introduced in Generation 3.,タネボー (Taneboh),seed: premature ungrown plant | tot: a small child,https://img.pokemondb.net/artwork/seedot.jpg,Acorn,50,400,Grass,,"Chlorophyll, Early Bird, Pickpocket",1 Defense,255,44,Medium Slow,50,50,50,3
274,Nuzleaf,Nuzleaf is a Grass/Dark type Pokémon introduced in Generation 3.,コノハナ (Konohana),nuzzle: to burrow with the nose | leaf: plant foliage,https://img.pokemondb.net/artwork/nuzleaf.jpg,Wily,100,2800,Grass, Dark,"Chlorophyll, Early Bird, Pickpocket",2 Attack,120,119,Medium Slow,50,50,50,3
275,Shiftry,Shiftry is a Grass/Dark type Pokémon introduced in Generation 3.,ダーテング (Dirteng),"shifty: deceptive, evasive | tree: large plant with a trunk",https://img.pokemondb.net/artwork/shiftry.jpg,Wicked,130,5960,Grass, Dark,"Chlorophyll, Early Bird, Pickpocket",3 Attack,45,216,Medium Slow,50,50,50,3
276,Taillow,Taillow is a Normal/Flying type Pokémon introduced in Generation 3.,スバメ (Subame),tail: hindmost part of an animal | swallow: a species of bird,https://img.pokemondb.net/artwork/taillow.jpg,TinySwallow,30,229,Normal, Flying,"Guts, Scrappy",1 Speed,200,54,Medium Slow,50,50,50,3
277,Swellow,Swellow is a Normal/Flying type Pokémon introduced in Generation 3.,オオスバメ (Ohsubame),swell: expand | swallow: a species of bird,https://img.pokemondb.net/artwork/swellow.jpg,Swallow,70,1980,Normal, Flying,"Guts, Scrappy",2 Speed,45,159,Medium Slow,50,50,50,3
278,Wingull,Wingull is a Water/Flying type Pokémon introduced in Generation 3.,キャモメ (Camome),wing: forelimb of a bird that enables flight | gull: a species of bird,https://img.pokemondb.net/artwork/wingull.jpg,Seagull,60,950,Water, Flying,"Keen Eye, Hydration, Rain Dish",1 Speed,190,54,Medium Fast,50,50,50,3
279,Pelipper,Pelipper is a Water/Flying type Pokémon introduced in Generation 3.,ペリッパー (Pelipper),pelican: a large seabird | flipper: referring to its wings,https://img.pokemondb.net/artwork/pelipper.jpg,Water Bird,120,2800,Water, Flying,"Keen Eye, Drizzle, Rain Dish",2 Defense,45,154,Medium Fast,50,50,50,3
280,Ralts,Ralts is a Psychic/Fairy type Pokémon introduced in Generation 3.,ラルトス (Ralts),astral: (anagram) relating to the stars | waltz: a type of dance,https://img.pokemondb.net/artwork/ralts.jpg,Feeling,40,660,Psychic, Fairy,"Synchronize, Trace, Telepathy",1 Sp. Atk,235,40,Slow,50,50,35,3
281,Kirlia,Kirlia is a Psychic/Fairy type Pokémon introduced in Generation 3.,キルリア (Kirlia),kirlian: a type of photography concerned with psychic aura,https://img.pokemondb.net/artwork/kirlia.jpg,Emotion,80,2020,Psychic, Fairy,"Synchronize, Trace, Telepathy",2 Sp. Atk,120,97,Slow,50,50,35,3
282,Gardevoir,"Gardevoir is a Psychic/Fairy type Pokémon introduced in Generation 3. Gardevoir has a Mega Evolution, available in Generation 6 games and Pokémon Go. In Generation 9, a Paradox Pokémon Iron Valiant was discovered, which bears a striking resemblance to Gardevoir and Gallade.",サーナイト (Sirnight),garde: French for ‘guard’ | voir: French for ‘see’,https://img.pokemondb.net/artwork/gardevoir.jpg,Embrace,160,4840,Psychic, Fairy,"Synchronize, Trace, Telepathy",3 Sp. Atk,45,259,Slow,50,50,35,3
283,Surskit,Surskit is a Bug/Water type Pokémon introduced in Generation 3.,アメタマ (Ametama),"surface: outside or top of an object, e.g. a lake | skitter: to skim along a surface (esp. water)",https://img.pokemondb.net/artwork/surskit.jpg,Pond Skater,50,170,Bug, Water,"Swift Swim, Rain Dish",1 Speed,200,54,Medium Fast,50,50,50,3
284,Masquerain,Masquerain is a Bug/Flying type Pokémon introduced in Generation 3.,アメモース (Amemoth),masquerade: costume/disguise or a facade | rain: precipitation,https://img.pokemondb.net/artwork/masquerain.jpg,Eyeball,80,360,Bug, Flying,"Intimidate, Unnerve","1 Sp. Atk, 1 Sp. Def",75,159,Medium Fast,50,50,50,3
285,Shroomish,Shroomish is a Grass type Pokémon introduced in Generation 3.,キノココ (Kinococo),"shroom: short for ‘mushroom’, a fungus | -ish: suffix meaning ‘like’ or ‘partly’",https://img.pokemondb.net/artwork/shroomish.jpg,Mushroom,40,450,Grass,,"Effect Spore, Poison Heal, Quick Feet",1 HP,255,59,Fluctuating,50,50,50,3
286,Breloom,Breloom is a Grass/Fighting type Pokémon introduced in Generation 3.,キノガッサ (Kinogassa),"umbrella: a dome shape, referring to Breloom’s head | mushroom: a fungus",https://img.pokemondb.net/artwork/breloom.jpg,Mushroom,120,3920,Grass, Fighting,"Effect Spore, Poison Heal, Technician",2 Attack,90,161,Fluctuating,50,50,50,3
287,Slakoth,Slakoth is a Normal type Pokémon introduced in Generation 3.,ナマケロ (Namakero),slack: slow or lazy; full name sounds like ‘slack off’ | sloth: a mammal commonly known for being slow,https://img.pokemondb.net/artwork/slakoth.jpg,Slacker,80,2400,Normal,,Truant,1 HP,255,56,Slow,50,50,50,3
288,Vigoroth,Vigoroth is a Normal type Pokémon introduced in Generation 3.,ヤルキモノ (Yarukimono),"vigor: energy, strength | sloth: a mammal commonly known for being slow",https://img.pokemondb.net/artwork/vigoroth.jpg,Wild Monkey,140,4650,Normal,,Vital Spirit,2 Speed,120,154,Slow,50,50,50,3
289,Slaking,Slaking is a Normal type Pokémon introduced in Generation 3.,ケッキング (Kekking),slack: slow or lazy; full name sounds like ‘slacking’ | king: royalty,https://img.pokemondb.net/artwork/slaking.jpg,Lazy,200,13050,Normal,,Truant,3 HP,45,285,Slow,50,50,50,3
290,Nincada,Nincada is a Bug/Ground type Pokémon introduced in Generation 3.,ツチニン (Tutinin),ninja: stealthy martial art | cicada: a species of insect,https://img.pokemondb.net/artwork/nincada.jpg,Trainee,50,550,Bug, Ground,"Compound Eyes, Run Away",1 Defense,255,53,Erratic,50,50,50,3
291,Ninjask,Ninjask is a Bug/Flying type Pokémon introduced in Generation 3.,テッカニン (Tekkanin),"ninja: stealthy martial art | mask: costume, disguise",https://img.pokemondb.net/artwork/ninjask.jpg,Ninja,80,1200,Bug, Flying,"Speed Boost, Infiltrator",2 Speed,120,160,Erratic,50,50,50,3
292,Shedinja,Shedinja is a Bug/Ghost type Pokémon introduced in Generation 3.,ヌケニン (Nukenin),shed: to remove a shell or skin | ninja: stealthy martial art,https://img.pokemondb.net/artwork/shedinja.jpg,Shed,80,120,Bug, Ghost,Wonder Guard,2 HP,45,83,Erratic,0,0,50,3
293,Whismur,Whismur is a Normal type Pokémon introduced in Generation 3.,ゴニョニョ (Gonyonyo),whisper: speak very quietly | murmur: mumble quietly,https://img.pokemondb.net/artwork/whismur.jpg,Whisper,60,1630,Normal,,"Soundproof, Rattled",1 HP,190,48,Medium Slow,50,50,50,3
294,Loudred,Loudred is a Normal type Pokémon introduced in Generation 3.,ドゴーム (Dogohmb),loud: (of sound) high in volume | dread: fear,https://img.pokemondb.net/artwork/loudred.jpg,Big Voice,100,4050,Normal,,"Soundproof, Scrappy",2 HP,120,126,Medium Slow,50,50,50,3
295,Exploud,Exploud is a Normal type Pokémon introduced in Generation 3.,バクオング (Bakuong),"explode: blow up, erupt | loud: (of sound) high in volume",https://img.pokemondb.net/artwork/exploud.jpg,Loud Noise,150,8400,Normal,,"Soundproof, Scrappy",3 HP,45,221,Medium Slow,50,50,50,3
296,Makuhita,Makuhita is a Fighting type Pokémon introduced in Generation 3.,マクノシタ (Makunoshita),makushita: a division of sumo wrestling,https://img.pokemondb.net/artwork/makuhita.jpg,Guts,100,8640,Fighting,,"Thick Fat, Guts, Sheer Force",1 HP,180,47,Fluctuating,75,25,50,3
297,Hariyama,"Hariyama is a Fighting type Pokémon introduced in Generation 3. In Generation 9, a Paradox Pokémon Iron Hands was discovered, which bears a striking resemblance to Hariyama.",ハリテヤマ (Hariteyama),hariyama: a division of sumo wrestling,https://img.pokemondb.net/artwork/hariyama.jpg,Arm Thrust,229,25380,Fighting,,"Thick Fat, Guts, Sheer Force",2 HP,200,166,Fluctuating,75,25,50,3
298,Azurill,Azurill is a Normal/Fairy type Pokémon introduced in Generation 3.,ルリリ (Ruriri),azure: a blue color | rill: small brook or river,https://img.pokemondb.net/artwork/azurill.jpg,Polka Dot,20,200,Normal, Fairy,"Thick Fat, Huge Power, Sap Sipper",1 HP,150,38,Fast,25,75,50,3
299,Nosepass,Nosepass is a Rock type Pokémon introduced in Generation 3.,ノズパス (Nosepass),nose: facial feature | compass: instrument that determines direction,https://img.pokemondb.net/artwork/nosepass.jpg,Compass,100,9700,Rock,,"Sturdy, Magnet Pull, Sand Force",1 Defense,255,75,Medium Fast,50,50,50,3
300,Skitty,Skitty is a Normal type Pokémon introduced in Generation 3.,エネコ (Eneco),skitty: absent-minded | kitty: a young cat,https://img.pokemondb.net/artwork/skitty.jpg,Kitten,60,1100,Normal,,"Cute Charm, Normalize, Wonder Skin",1 Speed,255,52,Fast,25,75,50,3
301,Delcatty,Delcatty is a Normal type Pokémon introduced in Generation 3.,エネコロロ (Enekororo),"delicate: fragile, dainty | catty: referring to cats",https://img.pokemondb.net/artwork/delcatty.jpg,Prim,110,3260,Normal,,"Cute Charm, Normalize, Wonder Skin","1 HP, 1 Speed",60,140,Fast,25,75,50,3
302,Sableye,"Sableye is a Dark/Ghost type Pokémon introduced in Generation 3. Sableye has a Mega Evolution, available in Omega Ruby/Alpha Sapphire.",ヤミラミ (Yamirami),sable: a mammal in the weasel family | eye: the organ of sight,https://img.pokemondb.net/artwork/sableye.jpg,Darkness,50,1100,Dark, Ghost,"Keen Eye, Stall, Prankster","1 Attack, 1 Defense",45,133,Medium Slow,50,50,35,3
303,Mawile,"Mawile is a Steel/Fairy type Pokémon introduced in Generation 3. Mawile has a Mega Evolution, available in Generation 6 games.",クチート (Kucheat),"maw: the jaw of a voracious mammal | wile: deceitful cunning, trickery",https://img.pokemondb.net/artwork/mawile.jpg,Deceiver,60,1150,Steel, Fairy,"Hyper Cutter, Intimidate, Sheer Force","1 Attack, 1 Defense",45,133,Fast,50,50,50,3
304,Aron,Aron is a Steel/Rock type Pokémon introduced in Generation 3.,ココドラ (Cokodora),armor: tough protective shell or clothing | iron: heavy/tough metal,https://img.pokemondb.net/artwork/aron.jpg,Iron Armor,40,6000,Steel, Rock,"Sturdy, Rock Head, Heavy Metal",1 Defense,180,66,Slow,50,50,35,3
305,Lairon,Lairon is a Steel/Rock type Pokémon introduced in Generation 3.,コドラ (Kodora),lairy: aggressive (British slang) | iron: heavy/tough metal,https://img.pokemondb.net/artwork/lairon.jpg,Iron Armor,90,12000,Steel, Rock,"Sturdy, Rock Head, Heavy Metal",2 Defense,90,151,Slow,50,50,35,3
306,Aggron,"Aggron is a Steel/Rock type Pokémon introduced in Generation 3. Aggron is a large, bipedal, dinosaur-like Pokémon with a steel-plated body. Its head is topped with a pair of curved, pointed horns. It has blue eyes, a large tail, and claws on its hands and feet. It is described as a very territorial Pokemon; it claims an entire mountain as its own. Aggron appears to be based on various prehistoric creatures, including dinosaurs of the Ceratopsidae family, like the Triceratops, as well as Ankylosaurus, an armored dinosaur. Aggron has a Mega Evolution, available in Generation 6 games and Pokémon Go. Mega Aggron is pure Steel type, making it the only Mega Evolution to lose a type upon evolving.",ボスゴドラ (Bossgodora),aggressive: always fighting | iron: heavy/tough metal,https://img.pokemondb.net/artwork/aggron.jpg,Iron Armor,210,36000,Steel, Rock,"Sturdy, Rock Head, Heavy Metal",3 Defense,45,239,Slow,50,50,35,3
307,Meditite,Meditite is a Fighting/Psychic type Pokémon introduced in Generation 3.,アサナン (Asanan),meditate: to engage in thought or contemplation | -ite: suffix meaning ‘closely related’,https://img.pokemondb.net/artwork/meditite.jpg,Meditate,60,1120,Fighting, Psychic,"Pure Power, Telepathy",1 Speed,180,56,Medium Fast,50,50,50,3
308,Medicham,"Medicham is a Fighting/Psychic type Pokémon introduced in Generation 3. Medicham has a Mega Evolution, available in Generation 6 games and Pokémon Go.",チャーレム (Charem),meditate: to engage in thought or contemplation | champion: winner over all others,https://img.pokemondb.net/artwork/medicham.jpg,Meditate,130,3150,Fighting, Psychic,"Pure Power, Telepathy",2 Speed,90,144,Medium Fast,50,50,50,3
309,Electrike,Electrike is an Electric type Pokémon introduced in Generation 3.,ラクライ (Rakurai),electricity: energy from electric currents | strike: to hit (incl. with lightning),https://img.pokemondb.net/artwork/electrike.jpg,Lightning,60,1520,Electric,,"Static, Lightning Rod, Minus",1 Speed,120,59,Slow,50,50,50,3
310,Manectric,"Manectric is an Electric type Pokémon introduced in Generation 3. Manectric has a Mega Evolution, available in Generation 6 games and Pokémon Go.",ライボルト (Livolt),mane: long hair around the neck of animals | electricity: energy from electric currents,https://img.pokemondb.net/artwork/manectric.jpg,Discharge,150,4020,Electric,,"Static, Lightning Rod, Minus",2 Speed,45,166,Slow,50,50,50,3
311,Plusle,Plusle is an Electric type Pokémon introduced in Generation 3.,プラスル (Prasle),plus: a positive charge,https://img.pokemondb.net/artwork/plusle.jpg,Cheering,40,420,Electric,,"Plus, Lightning Rod",1 Speed,200,142,Medium Fast,50,50,50,3
312,Minun,Minun is an Electric type Pokémon introduced in Generation 3.,マイナン (Minun),minus: a negative charge,https://img.pokemondb.net/artwork/minun.jpg,Cheering,40,420,Electric,,"Minus, Volt Absorb",1 Speed,200,142,Medium Fast,50,50,50,3
313,Volbeat,Volbeat is a Bug type Pokémon introduced in Generation 3.,バルビート (Barubeat),volt: unit of electricity | beat: rhythym,https://img.pokemondb.net/artwork/volbeat.jpg,Firefly,70,1770,Bug,,"Illuminate, Swarm, Prankster",1 Speed,150,151,Erratic,100,0,50,3
314,Illumise,Illumise is a Bug type Pokémon introduced in Generation 3.,イルミーゼ (Illumise),illuminate: bring light to,https://img.pokemondb.net/artwork/illumise.jpg,Firefly,60,1770,Bug,,"Oblivious, Tinted Lens, Prankster",1 Speed,150,151,Fluctuating,0,100,50,3
315,Roselia,Roselia is a Grass/Poison type Pokémon introduced in Generation 3.,ロゼリア (Roselia),rose: a type of flower | buddleia: a type of flower,https://img.pokemondb.net/artwork/roselia.jpg,Thorn,30,200,Grass, Poison,"Natural Cure, Poison Point, Leaf Guard",2 Sp. Atk,150,140,Medium Slow,50,50,50,3
316,Gulpin,Gulpin is a Poison type Pokémon introduced in Generation 3.,ゴクリン (Gokulin),gulping: noise of swallowing,https://img.pokemondb.net/artwork/gulpin.jpg,Stomach,40,1030,Poison,,"Liquid Ooze, Sticky Hold, Gluttony",1 HP,225,60,Fluctuating,50,50,50,3
317,Swalot,Swalot is a Poison type Pokémon introduced in Generation 3.,マルノーム (Marunoom),swallow: to eat | a lot: many,https://img.pokemondb.net/artwork/swalot.jpg,Poison Bag,170,8000,Poison,,"Liquid Ooze, Sticky Hold, Gluttony",2 HP,75,163,Fluctuating,50,50,50,3
318,Carvanha,Carvanha is a Water/Dark type Pokémon introduced in Generation 3.,キバニア (Kibanha),"carnivore: meat-eating creature | piranha: a species of fish, occasionally carnivorous",https://img.pokemondb.net/artwork/carvanha.jpg,Savage,80,2080,Water, Dark,"Rough Skin, Speed Boost",1 Attack,225,61,Slow,50,50,35,3
319,Sharpedo,"Sharpedo is a Water/Dark type Pokémon introduced in Generation 3. Sharpedo has a Mega Evolution, available in Omega Ruby/Alpha Sapphire.",サメハダー (Samehader),"shark: large, voracious fish | torpedo: weapon used underwater",https://img.pokemondb.net/artwork/sharpedo.jpg,Brutal,180,8880,Water, Dark,"Rough Skin, Speed Boost",2 Attack,60,161,Slow,50,50,35,3
320,Wailmer,Wailmer is a Water type Pokémon introduced in Generation 3.,ホエルコ (Hoeruko),"whale: large aquatic mammal | mere: not more, small",https://img.pokemondb.net/artwork/wailmer.jpg,Ball Whale,200,13000,Water,,"Water Veil, Oblivious, Pressure",1 HP,125,80,Fluctuating,50,50,50,3
321,Wailord,Wailord is a Water type Pokémon introduced in Generation 3.,ホエルオー (Whaloh),"whale: large aquatic mammal | lord: master, sire",https://img.pokemondb.net/artwork/wailord.jpg,Float Whale,1450,39800,Water,,"Water Veil, Oblivious, Pressure",2 HP,60,175,Fluctuating,50,50,50,3
322,Numel,Numel is a Fire/Ground type Pokémon introduced in Generation 3.,ドンメル (Donmel),numb: lacking in feeling | camel: hump-backed mammal commonly found in desert areas,https://img.pokemondb.net/artwork/numel.jpg,Numb,70,2400,Fire, Ground,"Oblivious, Simple, Own Tempo",1 Sp. Atk,255,61,Medium Fast,50,50,50,3
323,Camerupt,"Camerupt is a Fire/Ground type Pokémon introduced in Generation 3. Camerupt has a Mega Evolution, available in Omega Ruby/Alpha Sapphire.",バクーダ (Bakuuda),"camel: hump-backed mammal commonly found in desert areas | erupt: explode, eject molten lava from a volcano",https://img.pokemondb.net/artwork/camerupt.jpg,Eruption,190,22000,Fire, Ground,"Magma Armor, Solid Rock, Anger Point","1 Attack, 1 Sp. Atk",150,161,Medium Fast,50,50,50,3
324,Torkoal,Torkoal is a Fire type Pokémon introduced in Generation 3.,コータス (Cotoise),tortoise: large reptile with a protective shell | coal: black substance used as fuel,https://img.pokemondb.net/artwork/torkoal.jpg,Coal,50,8040,Fire,,"White Smoke, Drought, Shell Armor",2 Defense,90,165,Medium Fast,50,50,50,3
325,Spoink,Spoink is a Psychic type Pokémon introduced in Generation 3.,バネブー (Baneboo),spring: a coil that enables a bouncing action | oink: the noise a pig makes,https://img.pokemondb.net/artwork/spoink.jpg,Bounce,70,3060,Psychic,,"Thick Fat, Own Tempo, Gluttony",1 Sp. Def,255,66,Fast,50,50,50,3
326,Grumpig,Grumpig is a Psychic type Pokémon introduced in Generation 3.,ブーピッグ (Boopig),"grumpy: unhappy, grouchy | pig: farmyard animal",https://img.pokemondb.net/artwork/grumpig.jpg,Manipulate,90,7150,Psychic,,"Thick Fat, Own Tempo, Gluttony",2 Sp. Def,60,165,Fast,50,50,50,3
327,Spinda,Spinda is a Normal type Pokémon introduced in Generation 3.,パッチール (Patcheel),spin: rotate around | panda: large mammal native to China,https://img.pokemondb.net/artwork/spinda.jpg,Spot Panda,110,500,Normal,,"Own Tempo, Tangled Feet, Contrary",1 Sp. Atk,255,126,Fast,50,50,50,3
328,Trapinch,Trapinch is a Ground type Pokémon introduced in Generation 3.,ナックラー (Nuckrar),"trap: device used to capture creatures | pinch: squeeze, compress",https://img.pokemondb.net/artwork/trapinch.jpg,Ant Pit,70,1500,Ground,,"Hyper Cutter, Arena Trap, Sheer Force",1 Attack,255,58,Medium Slow,50,50,50,3
329,Vibrava,Vibrava is a Ground/Dragon type Pokémon introduced in Generation 3.,ビブラーバ (Vibrava),vibrate: shake rapidly | larva: young feeding stage of an insect,https://img.pokemondb.net/artwork/vibrava.jpg,Vibration,110,1530,Ground, Dragon,Levitate,"1 Attack, 1 Speed",120,119,Medium Slow,50,50,50,3
330,Flygon,Flygon is a Ground/Dragon type Pokémon introduced in Generation 3.,フライゴン (Flygon),dragonfly: a species of flying insect,https://img.pokemondb.net/artwork/flygon.jpg,Mystic,200,8200,Ground, Dragon,Levitate,"1 Attack, 2 Speed",45,234,Medium Slow,50,50,50,3
331,Cacnea,Cacnea is a Grass type Pokémon introduced in Generation 3.,サボネア (Sabonea),cactus: a desert plant | -ea: Latin suffix,https://img.pokemondb.net/artwork/cacnea.jpg,Cactus,40,5130,Grass,,"Sand Veil, Water Absorb",1 Sp. Atk,190,67,Medium Slow,50,50,35,3
332,Cacturne,Cacturne is a Grass/Dark type Pokémon introduced in Generation 3.,ノクタス (Noctus),cactus: a desert plant | nocturnal: relating to the night,https://img.pokemondb.net/artwork/cacturne.jpg,Scarecrow,130,7740,Grass, Dark,"Sand Veil, Water Absorb","1 Attack, 1 Sp. Atk",60,166,Medium Slow,50,50,35,3
333,Swablu,Swablu is a Normal/Flying type Pokémon introduced in Generation 3.,チルット (Tyltto),swab: a piece of cotton (referring to Swablu’s wings) | blue: a color,https://img.pokemondb.net/artwork/swablu.jpg,Cotton Bird,40,120,Normal, Flying,"Natural Cure, Cloud Nine",1 Sp. Def,255,62,Erratic,50,50,50,3
